"block","agegrp","sex","oud","counts"
"No_Treatment","62_63","Male","Nonactive_Noninjection",216
"No_Treatment","62_63","Male","Nonactive_Injection",72.4
"No_Treatment","62_63","Female","Active_Noninjection",1675.2
"No_Treatment","62_63","Female","Active_Injection",561.2
"No_Treatment","62_63","Female","Nonactive_Noninjection",165.6
"No_Treatment","62_63","Female","Nonactive_Injection",55.6
"No_Treatment","64_65","Male","Active_Noninjection",1921.8
"No_Treatment","64_65","Male","Active_Injection",643.6
"No_Treatment","64_65","Male","Nonactive_Noninjection",190.2
"No_Treatment","64_65","Male","Nonactive_Injection",63.8
"No_Treatment","64_65","Female","Active_Noninjection",1488.8
"No_Treatment","64_65","Female","Active_Injection",498.8
"No_Treatment","64_65","Female","Nonactive_Noninjection",147.2
"No_Treatment","64_65","Female","Nonactive_Injection",49.4
"No_Treatment","66_67","Male","Active_Noninjection",1660.4
"No_Treatment","66_67","Male","Active_Injection",556
"No_Treatment","66_67","Male","Nonactive_Noninjection",164.4
"No_Treatment","66_67","Male","Nonactive_Injection",55.2
"No_Treatment","66_67","Female","Active_Noninjection",1302.4
"No_Treatment","66_67","Female","Active_Injection",436.4
"No_Treatment","66_67","Female","Nonactive_Noninjection",128.8
"No_Treatment","66_67","Female","Nonactive_Injection",43.2
"No_Treatment","68_69","Male","Active_Noninjection",1660.4
"No_Treatment","68_69","Male","Active_Injection",556
"No_Treatment","68_69","Male","Nonactive_Noninjection",164.4
"No_Treatment","68_69","Male","Nonactive_Injection",55.2
"No_Treatment","68_69","Female","Active_Noninjection",1302.4
"No_Treatment","68_69","Female","Active_Injection",436.4
"No_Treatment","68_69","Female","Nonactive_Noninjection",128.8
"No_Treatment","68_69","Female","Nonactive_Injection",43.2
"No_Treatment","70_71","Male","Active_Noninjection",1225.2
"No_Treatment","70_71","Male","Active_Injection",410.4
"No_Treatment","70_71","Male","Nonactive_Noninjection",121.2
"No_Treatment","70_71","Male","Nonactive_Injection",40.8
"No_Treatment","70_71","Female","Active_Noninjection",996.4
"No_Treatment","70_71","Female","Active_Injection",333.6
"No_Treatment","70_71","Female","Nonactive_Noninjection",98.4
"No_Treatment","70_71","Female","Nonactive_Injection",33.2
"No_Treatment","72_73","Male","Active_Noninjection",1225.2
"No_Treatment","72_73","Male","Active_Injection",410.4
"No_Treatment","72_73","Male","Nonactive_Noninjection",121.2
"No_Treatment","72_73","Male","Nonactive_Injection",40.8
"No_Treatment","72_73","Female","Active_Noninjection",996.4
"No_Treatment","72_73","Female","Active_Injection",333.6
"No_Treatment","72_73","Female","Nonactive_Noninjection",98.4
"No_Treatment","72_73","Female","Nonactive_Injection",33.2
"No_Treatment","74_75","Male","Active_Noninjection",1074.8
"No_Treatment","74_75","Male","Active_Injection",360
