"block","agegrp","sex","oud","SMR"
"No_Treatment","80_81","Female","Nonactive_Noninjection",2.3022
"No_Treatment","80_81","Female","Nonactive_Injection",5.6192
"No_Treatment","82_83","Male","Active_Noninjection",1.79
"No_Treatment","82_83","Male","Active_Injection",4.4126
"No_Treatment","82_83","Male","Nonactive_Noninjection",1.8261
"No_Treatment","82_83","Male","Nonactive_Injection",4.5889
"No_Treatment","82_83","Female","Active_Noninjection",2.2898
"No_Treatment","82_83","Female","Active_Injection",5.6707
"No_Treatment","82_83","Female","Nonactive_Noninjection",2.3022
"No_Treatment","82_83","Female","Nonactive_Injection",5.6192
"No_Treatment","84_85","Male","Active_Noninjection",1.79
"No_Treatment","84_85","Male","Active_Injection",4.4126
"No_Treatment","84_85","Male","Nonactive_Noninjection",1.8261
"No_Treatment","84_85","Male","Nonactive_Injection",4.5889
"No_Treatment","84_85","Female","Active_Noninjection",2.2898
"No_Treatment","84_85","Female","Active_Injection",5.6707
"No_Treatment","84_85","Female","Nonactive_Noninjection",2.3022
"No_Treatment","84_85","Female","Nonactive_Injection",5.6192
"No_Treatment","86_87","Male","Active_Noninjection",1.79
"No_Treatment","86_87","Male","Active_Injection",4.4126
"No_Treatment","86_87","Male","Nonactive_Noninjection",1.8261
"No_Treatment","86_87","Male","Nonactive_Injection",4.5889
"No_Treatment","86_87","Female","Active_Noninjection",2.2898
"No_Treatment","86_87","Female","Active_Injection",5.6707
"No_Treatment","86_87","Female","Nonactive_Noninjection",2.3022
"No_Treatment","86_87","Female","Nonactive_Injection",5.6192
"No_Treatment","88_89","Male","Active_Noninjection",1.79
"No_Treatment","88_89","Male","Active_Injection",4.4126
"No_Treatment","88_89","Male","Nonactive_Noninjection",1.8261
"No_Treatment","88_89","Male","Nonactive_Injection",4.5889
"No_Treatment","88_89","Female","Active_Noninjection",2.2898
"No_Treatment","88_89","Female","Active_Injection",5.6707
"No_Treatment","88_89","Female","Nonactive_Noninjection",2.3022
"No_Treatment","88_89","Female","Nonactive_Injection",5.6192
"No_Treatment","90_91","Male","Active_Noninjection",1.79
"No_Treatment","90_91","Male","Active_Injection",4.4126
"No_Treatment","90_91","Male","Nonactive_Noninjection",1.8261
"No_Treatment","90_91","Male","Nonactive_Injection",4.5889
"No_Treatment","90_91","Female","Active_Noninjection",2.2898
"No_Treatment","90_91","Female","Active_Injection",5.6707
"No_Treatment","90_91","Female","Nonactive_Noninjection",2.3022
"No_Treatment","90_91","Female","Nonactive_Injection",5.6192
"No_Treatment","92_93","Male","Active_Noninjection",1.79
"No_Treatment","92_93","Male","Active_Injection",4.4126
"No_Treatment","92_93","Male","Nonactive_Noninjection",1.8261
"No_Treatment","92_93","Male","Nonactive_Injection",4.5889
"No_Treatment","92_93","Female","Active_Noninjection",2.2898
"No_Treatment","92_93","Female","Active_Injection",5.6707
"No_Treatment","92_93","Female","Nonactive_Noninjection",2.3022
"No_Treatment","92_93","Female","Nonactive_Injection",5.6192
"No_Treatment","94_95","Male","Active_Noninjection",1.79
"No_Treatment","94_95","Male","Active_Injection",4.4126
"No_Treatment","94_95","Male","Nonactive_Noninjection",1.8261
"No_Treatment","94_95","Male","Nonactive_Injection",4.5889
"No_Treatment","94_95","Female","Active_Noninjection",2.2898
"No_Treatment","94_95","Female","Active_Injection",5.6707
"No_Treatment","94_95","Female","Nonactive_Noninjection",2.3022
"No_Treatment","94_95","Female","Nonactive_Injection",5.6192
"No_Treatment","96_97","Male","Active_Noninjection",1.79
"No_Treatment","96_97","Male","Active_Injection",4.4126
"No_Treatment","96_97","Male","Nonactive_Noninjection",1.8261
"No_Treatment","96_97","Male","Nonactive_Injection",4.5889
"No_Treatment","96_97","Female","Active_Noninjection",2.2898
"No_Treatment","96_97","Female","Active_Injection",5.6707
"No_Treatment","96_97","Female","Nonactive_Noninjection",2.3022
"No_Treatment","96_97","Female","Nonactive_Injection",5.6192
"No_Treatment","98_99","Male","Active_Noninjection",1.79
"No_Treatment","98_99","Male","Active_Injection",4.4126
"No_Treatment","98_99","Male","Nonactive_Noninjection",1.8261
"No_Treatment","98_99","Male","Nonactive_Injection",4.5889
"No_Treatment","98_99","Female","Active_Noninjection",2.2898
"No_Treatment","98_99","Female","Active_Injection",5.6707
"No_Treatment","98_99","Female","Nonactive_Noninjection",2.3022
"No_Treatment","98_99","Female","Nonactive_Injection",5.6192
"Buprenorphine","10_11","Male","Active_Noninjection",1.79
"Buprenorphine","10_11","Male","Active_Injection",4.4126
"Buprenorphine","10_11","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","10_11","Male","Nonactive_Injection",4.5889
"Buprenorphine","10_11","Female","Active_Noninjection",2.2898
"Buprenorphine","10_11","Female","Active_Injection",5.6707
"Buprenorphine","10_11","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","10_11","Female","Nonactive_Injection",5.6192
"Buprenorphine","12_13","Male","Active_Noninjection",1.79
"Buprenorphine","12_13","Male","Active_Injection",4.4126
"Buprenorphine","12_13","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","12_13","Male","Nonactive_Injection",4.5889
"Buprenorphine","12_13","Female","Active_Noninjection",2.2898
"Buprenorphine","12_13","Female","Active_Injection",5.6707
"Buprenorphine","12_13","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","12_13","Female","Nonactive_Injection",5.6192
"Buprenorphine","14_15","Male","Active_Noninjection",1.79
"Buprenorphine","14_15","Male","Active_Injection",4.4126
"Buprenorphine","14_15","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","14_15","Male","Nonactive_Injection",4.5889
"Buprenorphine","14_15","Female","Active_Noninjection",2.2898
"Buprenorphine","14_15","Female","Active_Injection",5.6707
"Buprenorphine","14_15","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","14_15","Female","Nonactive_Injection",5.6192
"Buprenorphine","16_17","Male","Active_Noninjection",1.79
"Buprenorphine","16_17","Male","Active_Injection",4.4126
"Buprenorphine","16_17","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","16_17","Male","Nonactive_Injection",4.5889
"Buprenorphine","16_17","Female","Active_Noninjection",2.2898
"Buprenorphine","16_17","Female","Active_Injection",5.6707
"Buprenorphine","16_17","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","16_17","Female","Nonactive_Injection",5.6192
"Buprenorphine","18_19","Male","Active_Noninjection",1.79
"Buprenorphine","18_19","Male","Active_Injection",4.4126
"Buprenorphine","18_19","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","18_19","Male","Nonactive_Injection",4.5889
"Buprenorphine","18_19","Female","Active_Noninjection",2.2898
"Buprenorphine","18_19","Female","Active_Injection",5.6707
"Buprenorphine","18_19","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","18_19","Female","Nonactive_Injection",5.6192
"Buprenorphine","20_21","Male","Active_Noninjection",1.79
"Buprenorphine","20_21","Male","Active_Injection",4.4126
"Buprenorphine","20_21","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","20_21","Male","Nonactive_Injection",4.5889
"Buprenorphine","20_21","Female","Active_Noninjection",2.2898
"Buprenorphine","20_21","Female","Active_Injection",5.6707
"Buprenorphine","20_21","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","20_21","Female","Nonactive_Injection",5.6192
"Buprenorphine","22_23","Male","Active_Noninjection",1.79
"Buprenorphine","22_23","Male","Active_Injection",4.4126
"Buprenorphine","22_23","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","22_23","Male","Nonactive_Injection",4.5889
"Buprenorphine","22_23","Female","Active_Noninjection",2.2898
"Buprenorphine","22_23","Female","Active_Injection",5.6707
"Buprenorphine","22_23","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","22_23","Female","Nonactive_Injection",5.6192
"Buprenorphine","24_25","Male","Active_Noninjection",1.79
"Buprenorphine","24_25","Male","Active_Injection",4.4126
"Buprenorphine","24_25","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","24_25","Male","Nonactive_Injection",4.5889
"Buprenorphine","24_25","Female","Active_Noninjection",2.2898
"Buprenorphine","24_25","Female","Active_Injection",5.6707
"Buprenorphine","24_25","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","24_25","Female","Nonactive_Injection",5.6192
"Buprenorphine","26_27","Male","Active_Noninjection",1.79
"Buprenorphine","26_27","Male","Active_Injection",4.4126
"Buprenorphine","26_27","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","26_27","Male","Nonactive_Injection",4.5889
"Buprenorphine","26_27","Female","Active_Noninjection",2.2898
"Buprenorphine","26_27","Female","Active_Injection",5.6707
"Buprenorphine","26_27","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","26_27","Female","Nonactive_Injection",5.6192
"Buprenorphine","28_29","Male","Active_Noninjection",1.79
"Buprenorphine","28_29","Male","Active_Injection",4.4126
"Buprenorphine","28_29","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","28_29","Male","Nonactive_Injection",4.5889
"Buprenorphine","28_29","Female","Active_Noninjection",2.2898
"Buprenorphine","28_29","Female","Active_Injection",5.6707
"Buprenorphine","28_29","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","28_29","Female","Nonactive_Injection",5.6192
"Buprenorphine","30_31","Male","Active_Noninjection",1.79
"Buprenorphine","30_31","Male","Active_Injection",4.4126
"Buprenorphine","30_31","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","30_31","Male","Nonactive_Injection",4.5889
"Buprenorphine","30_31","Female","Active_Noninjection",2.2898
"Buprenorphine","30_31","Female","Active_Injection",5.6707
"Buprenorphine","30_31","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","30_31","Female","Nonactive_Injection",5.6192
"Buprenorphine","32_33","Male","Active_Noninjection",1.79
"Buprenorphine","32_33","Male","Active_Injection",4.4126
"Buprenorphine","32_33","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","32_33","Male","Nonactive_Injection",4.5889
"Buprenorphine","32_33","Female","Active_Noninjection",2.2898
"Buprenorphine","32_33","Female","Active_Injection",5.6707
"Buprenorphine","32_33","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","32_33","Female","Nonactive_Injection",5.6192
"Buprenorphine","34_35","Male","Active_Noninjection",1.79
"Buprenorphine","34_35","Male","Active_Injection",4.4126
"Buprenorphine","34_35","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","34_35","Male","Nonactive_Injection",4.5889
"Buprenorphine","34_35","Female","Active_Noninjection",2.2898
"Buprenorphine","34_35","Female","Active_Injection",5.6707
"Buprenorphine","34_35","Female","Nonactive_Noninjection",2.3022
"Buprenorphine","34_35","Female","Nonactive_Injection",5.6192
"Buprenorphine","36_37","Male","Active_Noninjection",1.79
"Buprenorphine","36_37","Male","Active_Injection",4.4126
"Buprenorphine","36_37","Male","Nonactive_Noninjection",1.8261
"Buprenorphine","36_37","Male","Nonactive_Injection",4.5889
"Buprenorphine","36_37","Female","Active_Noninjection",2.2898
"Buprenorphine","36_37","Female","Active_Injection",5.6707
