"block","agegrp","sex","oud","healthcare_utilization_cost_healthcare_system"
"No_Treatment","60_61","Male","Nonactive_Noninjection",201.97
"No_Treatment","60_61","Male","Nonactive_Injection",306.67
"No_Treatment","60_61","Female","Active_Noninjection",301
"No_Treatment","60_61","Female","Active_Injection",422.49
"No_Treatment","60_61","Female","Nonactive_Noninjection",201.97
"No_Treatment","60_61","Female","Nonactive_Injection",306.67
"No_Treatment","62_63","Male","Active_Noninjection",301
"No_Treatment","62_63","Male","Active_Injection",422.49
"No_Treatment","62_63","Male","Nonactive_Noninjection",201.97
"No_Treatment","62_63","Male","Nonactive_Injection",306.67
"No_Treatment","62_63","Female","Active_Noninjection",301
"No_Treatment","62_63","Female","Active_Injection",422.49
"No_Treatment","62_63","Female","Nonactive_Noninjection",201.97
"No_Treatment","62_63","Female","Nonactive_Injection",306.67
"No_Treatment","64_65","Male","Active_Noninjection",301
"No_Treatment","64_65","Male","Active_Injection",422.49
"No_Treatment","64_65","Male","Nonactive_Noninjection",201.97
"No_Treatment","64_65","Male","Nonactive_Injection",306.67
"No_Treatment","64_65","Female","Active_Noninjection",301
"No_Treatment","64_65","Female","Active_Injection",422.49
"No_Treatment","64_65","Female","Nonactive_Noninjection",201.97
"No_Treatment","64_65","Female","Nonactive_Injection",306.67
"No_Treatment","66_67","Male","Active_Noninjection",301
"No_Treatment","66_67","Male","Active_Injection",422.49
"No_Treatment","66_67","Male","Nonactive_Noninjection",201.97
"No_Treatment","66_67","Male","Nonactive_Injection",306.67
"No_Treatment","66_67","Female","Active_Noninjection",301
"No_Treatment","66_67","Female","Active_Injection",422.49
"No_Treatment","66_67","Female","Nonactive_Noninjection",201.97
"No_Treatment","66_67","Female","Nonactive_Injection",306.67
"No_Treatment","68_69","Male","Active_Noninjection",301
"No_Treatment","68_69","Male","Active_Injection",422.49
"No_Treatment","68_69","Male","Nonactive_Noninjection",201.97
"No_Treatment","68_69","Male","Nonactive_Injection",306.67
"No_Treatment","68_69","Female","Active_Noninjection",301
"No_Treatment","68_69","Female","Active_Injection",422.49
"No_Treatment","68_69","Female","Nonactive_Noninjection",201.97
"No_Treatment","68_69","Female","Nonactive_Injection",306.67
"No_Treatment","70_71","Male","Active_Noninjection",301
"No_Treatment","70_71","Male","Active_Injection",422.49
"No_Treatment","70_71","Male","Nonactive_Noninjection",201.97
"No_Treatment","70_71","Male","Nonactive_Injection",306.67
"No_Treatment","70_71","Female","Active_Noninjection",301
"No_Treatment","70_71","Female","Active_Injection",422.49
"No_Treatment","70_71","Female","Nonactive_Noninjection",201.97
"No_Treatment","70_71","Female","Nonactive_Injection",306.67
"No_Treatment","72_73","Male","Active_Noninjection",301
"No_Treatment","72_73","Male","Active_Injection",422.49
"No_Treatment","72_73","Male","Nonactive_Noninjection",201.97
"No_Treatment","72_73","Male","Nonactive_Injection",306.67
"No_Treatment","72_73","Female","Active_Noninjection",301
"No_Treatment","72_73","Female","Active_Injection",422.49
"No_Treatment","72_73","Female","Nonactive_Noninjection",201.97
"No_Treatment","72_73","Female","Nonactive_Injection",306.67
"No_Treatment","74_75","Male","Active_Noninjection",301
"No_Treatment","74_75","Male","Active_Injection",422.49
"No_Treatment","74_75","Male","Nonactive_Noninjection",201.97
"No_Treatment","74_75","Male","Nonactive_Injection",306.67
"No_Treatment","74_75","Female","Active_Noninjection",301
"No_Treatment","74_75","Female","Active_Injection",422.49
"No_Treatment","74_75","Female","Nonactive_Noninjection",201.97
"No_Treatment","74_75","Female","Nonactive_Injection",306.67
"No_Treatment","76_77","Male","Active_Noninjection",301
"No_Treatment","76_77","Male","Active_Injection",422.49
"No_Treatment","76_77","Male","Nonactive_Noninjection",201.97
"No_Treatment","76_77","Male","Nonactive_Injection",306.67
"No_Treatment","76_77","Female","Active_Noninjection",301
"No_Treatment","76_77","Female","Active_Injection",422.49
"No_Treatment","76_77","Female","Nonactive_Noninjection",201.97
"No_Treatment","76_77","Female","Nonactive_Injection",306.67
"No_Treatment","78_79","Male","Active_Noninjection",301
"No_Treatment","78_79","Male","Active_Injection",422.49
"No_Treatment","78_79","Male","Nonactive_Noninjection",201.97
"No_Treatment","78_79","Male","Nonactive_Injection",306.67
"No_Treatment","78_79","Female","Active_Noninjection",301
"No_Treatment","78_79","Female","Active_Injection",422.49
"No_Treatment","78_79","Female","Nonactive_Noninjection",201.97
"No_Treatment","78_79","Female","Nonactive_Injection",306.67
"No_Treatment","80_81","Male","Active_Noninjection",301
"No_Treatment","80_81","Male","Active_Injection",422.49
"No_Treatment","80_81","Male","Nonactive_Noninjection",201.97
"No_Treatment","80_81","Male","Nonactive_Injection",306.67
"No_Treatment","80_81","Female","Active_Noninjection",301
"No_Treatment","80_81","Female","Active_Injection",422.49
"No_Treatment","80_81","Female","Nonactive_Noninjection",201.97
"No_Treatment","80_81","Female","Nonactive_Injection",306.67
"No_Treatment","82_83","Male","Active_Noninjection",301
"No_Treatment","82_83","Male","Active_Injection",422.49
"No_Treatment","82_83","Male","Nonactive_Noninjection",201.97
"No_Treatment","82_83","Male","Nonactive_Injection",306.67
"No_Treatment","82_83","Female","Active_Noninjection",301
"No_Treatment","82_83","Female","Active_Injection",422.49
"No_Treatment","82_83","Female","Nonactive_Noninjection",201.97
"No_Treatment","82_83","Female","Nonactive_Injection",306.67
"No_Treatment","84_85","Male","Active_Noninjection",301
"No_Treatment","84_85","Male","Active_Injection",422.49
"No_Treatment","84_85","Male","Nonactive_Noninjection",201.97
"No_Treatment","84_85","Male","Nonactive_Injection",306.67
"No_Treatment","84_85","Female","Active_Noninjection",301
