agegrp,sex,oud,initial_block,to_Corrections_cycle936
78_79,Male,Active_Injection,No_Treatment,0.001418
78_79,Male,Nonactive_Noninjection,No_Treatment,0.000946
78_79,Male,Nonactive_Injection,No_Treatment,0.000946
78_79,Female,Active_Noninjection,No_Treatment,0.00023
78_79,Female,Active_Injection,No_Treatment,0.00023
78_79,Female,Nonactive_Noninjection,No_Treatment,0.000154
78_79,Female,Nonactive_Injection,No_Treatment,0.000154
80_81,Male,Active_Noninjection,No_Treatment,0.001418
80_81,Male,Active_Injection,No_Treatment,0.001418
80_81,Male,Nonactive_Noninjection,No_Treatment,0.000946
80_81,Male,Nonactive_Injection,No_Treatment,0.000946
80_81,Female,Active_Noninjection,No_Treatment,0.00023
80_81,Female,Active_Injection,No_Treatment,0.00023
80_81,Female,Nonactive_Noninjection,No_Treatment,0.000154
80_81,Female,Nonactive_Injection,No_Treatment,0.000154
82_83,Male,Active_Noninjection,No_Treatment,0.001418
82_83,Male,Active_Injection,No_Treatment,0.001418
82_83,Male,Nonactive_Noninjection,No_Treatment,0.000946
82_83,Male,Nonactive_Injection,No_Treatment,0.000946
82_83,Female,Active_Noninjection,No_Treatment,0.00023
82_83,Female,Active_Injection,No_Treatment,0.00023
82_83,Female,Nonactive_Noninjection,No_Treatment,0.000154
82_83,Female,Nonactive_Injection,No_Treatment,0.000154
84_85,Male,Active_Noninjection,No_Treatment,0.001418
84_85,Male,Active_Injection,No_Treatment,0.001418
84_85,Male,Nonactive_Noninjection,No_Treatment,0.000946
84_85,Male,Nonactive_Injection,No_Treatment,0.000946
84_85,Female,Active_Noninjection,No_Treatment,0.00023
84_85,Female,Active_Injection,No_Treatment,0.00023
84_85,Female,Nonactive_Noninjection,No_Treatment,0.000154
84_85,Female,Nonactive_Injection,No_Treatment,0.000154
86_87,Male,Active_Noninjection,No_Treatment,0.001418
86_87,Male,Active_Injection,No_Treatment,0.001418
86_87,Male,Nonactive_Noninjection,No_Treatment,0.000946
86_87,Male,Nonactive_Injection,No_Treatment,0.000946
86_87,Female,Active_Noninjection,No_Treatment,0.00023
86_87,Female,Active_Injection,No_Treatment,0.00023
86_87,Female,Nonactive_Noninjection,No_Treatment,0.000154
86_87,Female,Nonactive_Injection,No_Treatment,0.000154
88_89,Male,Active_Noninjection,No_Treatment,0.001418
88_89,Male,Active_Injection,No_Treatment,0.001418
88_89,Male,Nonactive_Noninjection,No_Treatment,0.000946
88_89,Male,Nonactive_Injection,No_Treatment,0.000946
88_89,Female,Active_Noninjection,No_Treatment,0.00023
88_89,Female,Active_Injection,No_Treatment,0.00023
88_89,Female,Nonactive_Noninjection,No_Treatment,0.000154
88_89,Female,Nonactive_Injection,No_Treatment,0.000154
90_91,Male,Active_Noninjection,No_Treatment,0.001418
90_91,Male,Active_Injection,No_Treatment,0.001418
90_91,Male,Nonactive_Noninjection,No_Treatment,0.000946
90_91,Male,Nonactive_Injection,No_Treatment,0.000946
90_91,Female,Active_Noninjection,No_Treatment,0.00023
90_91,Female,Active_Injection,No_Treatment,0.00023
90_91,Female,Nonactive_Noninjection,No_Treatment,0.000154
90_91,Female,Nonactive_Injection,No_Treatment,0.000154
92_93,Male,Active_Noninjection,No_Treatment,0.001418
92_93,Male,Active_Injection,No_Treatment,0.001418
92_93,Male,Nonactive_Noninjection,No_Treatment,0.000946
92_93,Male,Nonactive_Injection,No_Treatment,0.000946
92_93,Female,Active_Noninjection,No_Treatment,0.00023
92_93,Female,Active_Injection,No_Treatment,0.00023
92_93,Female,Nonactive_Noninjection,No_Treatment,0.000154
92_93,Female,Nonactive_Injection,No_Treatment,0.000154
94_95,Male,Active_Noninjection,No_Treatment,0.001418
94_95,Male,Active_Injection,No_Treatment,0.001418
94_95,Male,Nonactive_Noninjection,No_Treatment,0.000946
94_95,Male,Nonactive_Injection,No_Treatment,0.000946
94_95,Female,Active_Noninjection,No_Treatment,0.00023
94_95,Female,Active_Injection,No_Treatment,0.00023
94_95,Female,Nonactive_Noninjection,No_Treatment,0.000154
94_95,Female,Nonactive_Injection,No_Treatment,0.000154
96_97,Male,Active_Noninjection,No_Treatment,0.001418
96_97,Male,Active_Injection,No_Treatment,0.001418
96_97,Male,Nonactive_Noninjection,No_Treatment,0.000946
96_97,Male,Nonactive_Injection,No_Treatment,0.000946
96_97,Female,Active_Noninjection,No_Treatment,0.00023
96_97,Female,Active_Injection,No_Treatment,0.00023
96_97,Female,Nonactive_Noninjection,No_Treatment,0.000154
96_97,Female,Nonactive_Injection,No_Treatment,0.000154
98_99,Male,Active_Noninjection,No_Treatment,0.001418
98_99,Male,Active_Injection,No_Treatment,0.001418
98_99,Male,Nonactive_Noninjection,No_Treatment,0.000946
98_99,Male,Nonactive_Injection,No_Treatment,0.000946
98_99,Female,Active_Noninjection,No_Treatment,0.00023
98_99,Female,Active_Injection,No_Treatment,0.00023
98_99,Female,Nonactive_Noninjection,No_Treatment,0.000154
98_99,Female,Nonactive_Injection,No_Treatment,0.000154
