"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"28_29","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"28_29","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"30_31","Male","Active_Noninjection","No_Treatment",0.981840028962933,0.00682908302920793,0.000559231973491059,0.00195594405052291,0.00881571198384511,0,0.979858375817589,0.00682908302920793,0.000559231973491059,0.00195594405052291,0.0107973651291888,0,0.981620736179037,0.00682908302920793,0.000559231973491059,0.00195594405052291,0.00903500476774112,0
"30_31","Male","Active_Injection","No_Treatment",0.981840028962933,0.00682908302920793,0.000559231973491059,0.00195594405052291,0.00881571198384511,0,0.979858375817589,0.00682908302920793,0.000559231973491059,0.00195594405052291,0.0107973651291888,0,0.981620736179037,0.00682908302920793,0.000559231973491059,0.00195594405052291,0.00903500476774112,0
"30_31","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"30_31","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"30_31","Female","Active_Noninjection","No_Treatment",0.983781062401439,0.00708016117542309,0.000617665205804641,0.0026994700333276,0.0058216411840054,0,0.982472435987091,0.00708016117542309,0.000617665205804641,0.0026994700333276,0.00713026759835372,0,0.983636247790388,0.00708016117542309,0.000617665205804641,0.0026994700333276,0.00596645579505709,0
"30_31","Female","Active_Injection","No_Treatment",0.983781062401439,0.00708016117542309,0.000617665205804641,0.0026994700333276,0.0058216411840054,0,0.982472435987091,0.00708016117542309,0.000617665205804641,0.0026994700333276,0.00713026759835372,0,0.983636247790388,0.00708016117542309,0.000617665205804641,0.0026994700333276,0.00596645579505709,0
"30_31","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"30_31","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
